UF,Codigo_IBGE,Ente_Federado,VAAT,Ponderador_DRec,Ponderador_NSE
AL,2706703.0,PENEDO,6598.03,1.032283,1.022047
AL,2706802.0,PIACABUCU,6580.36,1.0323,1.024706
AL,2706901.0,PILAR,6309.65,1.032559,1.020949
AL,2707008.0,PINDOBA,7595.29,1.031328,1.028092
AL,2707107.0,PIRANHAS,7101.2,1.031801,1.025426
AL,2707206.0,POCO DAS TRINCHEIRAS,5629.73,1.03321,1.032448
AL,2707305.0,PORTO CALVO,6271.82,1.032596,1.022689
AL,2707404.0,PORTO DE PEDRAS,7340.47,1.031572,1.023498
AL,2707503.0,PORTO REAL DO COLEGIO,6498.89,1.032378,1.029895
AL,2707602.0,QUEBRANGULO,6780.38,1.032109,1.02672
AL,2707701.0,RIO LARGO,6359.65,1.032511,1.01513
AL,2707800.0,ROTEIRO,8364.77,1.030591,1.026116
AL,2707909.0,SANTA LUZIA DO NORTE,7320.05,1.031592,1.015759
AL,2708006.0,SANTANA DO IPANEMA,6518.73,1.032359,1.028708
AL,2708105.0,SANTANA DO MUNDAU,5180.49,1.033641,1.02864
AL,2708204.0,SAO BRAS,7731.0,1.031198,1.025266
AL,2708303.0,SAO JOSE DA LAJE,6607.04,1.032275,1.023433
AL,2708402.0,SAO JOSE DA TAPERA,7079.94,1.031822,1.031446
AL,2708501.0,SAO LUIS DO QUITUNDE,7621.82,1.031303,1.023522
AL,2708600.0,SAO MIGUEL DOS CAMPOS,6474.22,1.032402,1.016151
AL,2708709.0,SAO MIGUEL DOS MILAGRES,6737.79,1.032149,1.018123
AL,2708808.0,SAO SEBASTIAO,6835.64,1.032056,1.023713
AL,2708956.0,SENADOR RUI PALMEIRA,6760.67,1.032127,1.032547
AL,2709004.0,TANQUE DARCA,6525.51,1.032353,1.025626
AL,2709103.0,TAQUARANA,6086.73,1.032773,1.022005
AL,2709152.0,TEOTONIO VILELA,7841.24,1.031093,1.017501
AL,2709202.0,TRAIPU,5286.38,1.033539,1.035603
AL,2709301.0,UNIAO DOS PALMARES,6422.51,1.032451,1.024938
AL,2709400.0,VICOSA,7155.41,1.031749,1.029243
AM,13.0,GOVERNO DO ESTADO,9703.41,1.029309,1.014802
AM,1300060.0,AMATURA,6723.41,1.032163,1.048302
AM,1300086.0,ANAMA,8014.05,1.030927,1.03033
AM,1300102.0,ANORI,7789.08,1.031143,1.024795
AM,1300144.0,APUI,7006.24,1.031892,1.014783
AM,1300201.0,ATALAIA DO NORTE,4733.47,1.034069,1.033246
AM,1300300.0,AUTAZES,6556.71,1.032323,1.027625
AM,1300409.0,BARCELOS,6677.52,1.032207,1.026297
AM,1300508.0,BARREIRINHA,6257.25,1.03261,1.040069
AM,1300607.0,BENJAMIN CONSTANT,5672.58,1.033169,1.042254
AM,1300631.0,BERURI,6749.2,1.032138,1.035287
AM,1300680.0,BOA VISTA DO RAMOS,6245.25,1.032621,1.031051
AM,1300706.0,BOCA DO ACRE,6524.78,1.032353,1.021839
AM,1300805.0,BORBA,6726.87,1.03216,1.037622
AM,1300839.0,CAAPIRANGA,8300.06,1.030653,1.029841
AM,1300904.0,CANUTAMA,6472.02,1.032404,1.019753
AM,1301001.0,CARAUARI,6427.85,1.032446,1.034118
AM,1301100.0,CAREIRO,6940.25,1.031955,1.023813
AM,1301159.0,CAREIRO DA VARZEA,7140.32,1.031764,1.026994
AM,1301209.0,COARI,7924.53,1.031013,1.029477
AM,1301308.0,CODAJAS,6582.77,1.032298,1.028358
AM,1301407.0,EIRUNEPE,7047.05,1.031853,1.034881
AM,1301506.0,ENVIRA,6008.63,1.032848,1.038378
AM,1301605.0,FONTE BOA,6305.25,1.032564,1.03001
AM,1301654.0,GUAJARA,6991.28,1.031907,1.034666
AM,1301704.0,HUMAITA,6415.24,1.032458,1.020937
AM,1301803.0,IPIXUNA,5359.05,1.03347,1.039139
AM,1301852.0,IRANDUBA,7450.16,1.031467,1.016484
AM,1301902.0,ITACOATIARA,7321.04,1.031591,1.024376
