UF,Codigo_IBGE,Ente_Federado,VAAT,Ponderador_DRec,Ponderador_NSE
MA,2103000.0,CAXIAS,6778.79,1.03211,1.02529
MA,2103109.0,CEDRAL,6649.04,1.032234,1.031406
MA,2103125.0,CENTRAL DO MARANHAO,7557.45,1.031364,1.038076
MA,2103174.0,CENTRO NOVO DO MARANHAO,5050.24,1.033765,1.03348
MA,2103208.0,CHAPADINHA,6698.3,1.032187,1.035723
MA,2103257.0,CIDELANDIA,6722.17,1.032164,1.022249
MA,2103307.0,CODO,6487.57,1.032389,1.028944
MA,2103406.0,COELHO NETO,7142.85,1.031761,1.031113
MA,2103554.0,CONCEICAO DO LAGO-ACU,6443.48,1.032431,1.034357
MA,2103604.0,COROATA,6779.58,1.032109,1.034281
MA,2103703.0,CURURUPU,6539.84,1.032339,1.031768
MA,2103752.0,DAVINOPOLIS,7483.03,1.031436,1.017871
MA,2103802.0,DOM PEDRO,6909.24,1.031985,1.022735
MA,2103901.0,DUQUE BACELAR,6518.57,1.032359,1.037321
MA,2104008.0,ESPERANTINOPOLIS,6783.36,1.032106,1.026745
MA,2104057.0,ESTREITO,7423.28,1.031493,1.015121
MA,2104073.0,FEIRA NOVA DO MARANHAO,7377.37,1.031537,1.026094
MA,2104081.0,FERNANDO FALCAO,6663.88,1.03222,1.033147
MA,2104107.0,FORTALEZA DOS NOGUEIRAS,6766.1,1.032122,1.023154
MA,2104206.0,FORTUNA,6471.97,1.032404,1.025112
MA,2104305.0,GODOFREDO VIANA,7765.05,1.031166,1.02555
MA,2104404.0,GONCALVES DIAS,7707.69,1.03122,1.027123
MA,2104503.0,GOVERNADOR ARCHER,6678.03,1.032207,1.02574
MA,2104552.0,GOVERNADOR EDISON LOBAO,6852.08,1.03204,1.02001
MA,2104602.0,GOVERNADOR EUGENIO BARROS,7729.22,1.0312,1.027072
MA,2104628.0,GOVERNADOR LUIZ ROCHA,6641.18,1.032242,1.025346
MA,2104651.0,GOVERNADOR NEWTON BELLO,7087.49,1.031814,1.033295
MA,2104677.0,GOVERNADOR NUNES FREIRE,5762.35,1.033083,1.028192
MA,2104701.0,GRACA ARANHA,7054.22,1.031846,1.021071
MA,2104800.0,GRAJAU,6201.65,1.032663,1.025533
MA,2104909.0,GUIMARAES,7492.1,1.031427,1.02991
MA,2105005.0,HUMBERTO DE CAMPOS,6233.12,1.032633,1.041435
MA,2105104.0,ICATU,7275.36,1.031635,1.040888
MA,2105153.0,IGARAPE DO MEIO,6887.58,1.032006,1.027811
MA,2105203.0,IGARAPE GRANDE,6378.12,1.032494,1.028827
MA,2105302.0,IMPERATRIZ,7674.59,1.031252,1.00943
MA,2105351.0,ITAIPAVA DO GRAJAU,6682.75,1.032202,1.028011
MA,2105427.0,ITINGA DO MARANHAO,6417.17,1.032456,1.016821
MA,2105450.0,JATOBA,7513.04,1.031407,1.026773
MA,2105476.0,JENIPAPO DOS VIEIRAS,6971.36,1.031926,1.028225
MA,2105500.0,JOAO LISBOA,6923.4,1.031972,1.021505
MA,2105609.0,JOSELANDIA,6790.16,1.032099,1.028653
MA,2105658.0,JUNCO DO MARANHAO,6031.51,1.032826,1.029518
MA,2105708.0,LAGO DA PEDRA,6446.81,1.032428,1.025184
MA,2105807.0,LAGO DO JUNCO,6273.24,1.032594,1.034014
MA,2105906.0,LAGO VERDE,6962.82,1.031934,1.032484
MA,2105922.0,LAGOA DO MATO,7214.28,1.031693,1.030364
MA,2105948.0,LAGO DOS RODRIGUES,6447.23,1.032428,1.030389
MA,2105963.0,LAGOA GRANDE DO MARANHAO,6274.04,1.032593,1.026375
MA,2105989.0,LAJEADO NOVO,6568.36,1.032312,1.026224
MA,2106003.0,LIMA CAMPOS,8294.27,1.030659,1.027305
MA,2106102.0,LORETO,6775.16,1.032114,1.027608
MA,2106201.0,LUIS DOMINGUES,6279.17,1.032589,1.030731
MA,2106300.0,MAGALHAES DE ALMEIDA,6235.11,1.032631,1.038525
MA,2106326.0,MARACACUME,6410.47,1.032463,1.028623
MA,2106359.0,MARAJA DO SENA,6397.28,1.032475,1.032689
MA,2106375.0,MARANHAOZINHO,6116.52,1.032744,1.032353
MA,2106409.0,MATA ROMA,5874.28,1.032976,1.037194
MA,2106508.0,MATINHA,6853.27,1.032039,1.033543
MA,2106607.0,MATOES,7360.6,1.031553,1.034046
MA,2106631.0,MATOES DO NORTE,5812.26,1.033036,1.037001
MA,2106672.0,MILAGRES DO MARANHAO,5993.52,1.032862,1.040692
MA,2106706.0,MIRADOR,6872.24,1.032021,1.034817
MA,2106755.0,MIRANDA DO NORTE,7312.32,1.031599,1.021981
MA,2106805.0,MIRINZAL,5887.69,1.032963,1.027835
MA,2106904.0,MONCAO,6816.77,1.032074,1.035314
MA,2107001.0,MONTES ALTOS,6343.53,1.032527,1.029864
MA,2107100.0,MORROS,6207.38,1.032657,1.041359
MA,2107209.0,NINA RODRIGUES,6299.42,1.032569,1.039394
MA,2107258.0,NOVA COLINAS,7490.91,1.031428,1.022962
MA,2107308.0,NOVA IORQUE,5926.0,1.032927,1.027143
MA,2107357.0,NOVA OLINDA DO MARANHAO,7317.87,1.031594,1.028239
MA,2107407.0,OLHO DAGUA DAS CUNHAS,7407.92,1.031508,1.02552
MA,2107456.0,OLINDA NOVA DO MARANHAO,7165.63,1.03174,1.031169
MA,2107506.0,PACO DO LUMIAR,7322.67,1.031589,1.018768
MA,2107605.0,PALMEIRANDIA,7910.58,1.031026,1.036435
MA,2107704.0,PARAIBANO,6972.48,1.031925,1.02016
MA,2107803.0,PARNARAMA,6663.99,1.03222,1.032984
MA,2107902.0,PASSAGEM FRANCA,7172.76,1.031733,1.03299
MA,2108009.0,PASTOS BONS,6193.86,1.03267,1.025334
MA,2108058.0,PAULINO NEVES,6797.59,1.032092,1.043319
MA,2108108.0,PAULO RAMOS,6220.29,1.032645,1.031153
MA,2108207.0,PEDREIRAS,7678.42,1.031249,1.019766
MA,2108256.0,PEDRO DO ROSARIO,6767.51,1.032121,1.039425
MA,2108306.0,PENALVA,6936.87,1.031959,1.032207
MA,2108405.0,PERI MIRIM,6516.06,1.032362,1.035202
MA,2108454.0,PERITORO,6295.35,1.032573,1.03364
MA,2108504.0,PINDARE MIRIM,6419.3,1.032454,1.026478
MA,2108603.0,PINHEIRO,7051.14,1.031849,1.02819
MA,2108702.0,PIO XII,6982.86,1.031915,1.028273
MA,2108801.0,PIRAPEMAS,7579.11,1.031344,1.034038
MA,2108900.0,POCAO DE PEDRAS,6331.32,1.032539,1.024482
MA,2109007.0,PORTO FRANCO,5983.98,1.032871,1.014492
MA,2109056.0,PORTO RICO DO MARANHAO,6427.54,1.032446,1.030657
MA,2109106.0,PRESIDENTE DUTRA,6221.12,1.032644,1.019642
MA,2109205.0,PRESIDENTE JUSCELINO,6815.51,1.032075,1.037649
MA,2109239.0,PRESIDENTE MEDICI,6924.43,1.031971,1.029703
MA,2109270.0,PRESIDENTE SARNEY,6069.35,1.032789,1.03638
MA,2109403.0,PRIMEIRA CRUZ,6175.22,1.032688,1.041996
MA,2109452.0,RAPOSA,5303.8,1.033523,1.024052
MA,2109551.0,RIBAMAR FIQUENE,7771.58,1.031159,1.019886
MA,2109601.0,ROSARIO,6550.75,1.032328,1.02902
MA,2109700.0,SAMBAIBA,8381.46,1.030575,1.03046
MA,2109759.0,SANTA FILOMENA DO MARANHAO,6697.3,1.032188,1.032961
MA,2109809.0,SANTA HELENA,5872.0,1.032978,1.031487
MA,2110039.0,SANTA LUZIA DO PARUA,6528.03,1.03235,1.027572
MA,2110104.0,SANTA QUITERIA DO MARANHAO,6711.48,1.032175,1.042024
MA,2110203.0,SANTA RITA,6503.95,1.032373,1.02801
MA,2110237.0,SANTANA DO MARANHAO,6595.58,1.032286,1.042456
MA,2110278.0,SANTO AMARO DO MARANHAO,6951.67,1.031945,1.038664
MA,2110302.0,SANTO ANTONIO DOS LOPES,10388.56,1.028653,1.026302
MA,2110401.0,SAO BENEDITO DO RIO PRETO,5906.16,1.032946,1.042804
MA,2110500.0,SAO BENTO,6565.21,1.032315,1.031554
MA,2110609.0,SAO BERNARDO,5232.49,1.033591,1.038564
MA,2110658.0,SAO DOMINGOS DO AZEITAO,7314.46,1.031597,1.025765
MA,2110708.0,SAO DOMINGOS DO MARANHAO,7141.05,1.031763,1.025734
MA,2110807.0,SAO FELIX DE BALSAS,8699.52,1.030271,1.029108
MA,2110856.0,SAO FRANCISCO DO BREJAO,7353.25,1.03156,1.018122
MA,2110906.0,SAO FRANCISCO DO MARANHAO,6754.52,1.032133,1.040992
MA,2111003.0,SAO JOAO BATISTA,7222.17,1.031685,1.037908
MA,2111029.0,SAO JOAO DO CARU,6969.33,1.031928,1.034396
MA,2111052.0,SAO JOAO DO PARAISO,7923.19,1.031014,1.021355
MA,2111078.0,SAO JOAO DO SOTER,7157.7,1.031747,1.032677
MA,2111102.0,SAO JOAO DOS PATOS,6814.5,1.032076,1.021442
MA,2111201.0,SAO JOSE DE RIBAMAR,5597.69,1.033241,1.019449
MA,2111250.0,SAO JOSE DOS BASILIOS,6334.69,1.032535,1.024812
MA,2111300.0,SAO LUIS,10089.58,1.028939,1.016792
MA,2111409.0,SAO LUIS GONZAGA DO MARANHAO,6867.83,1.032025,1.039133
MA,2111508.0,SAO MATEUS DO MARANHAO,6342.35,1.032528,1.023372
MA,2111532.0,SAO PEDRO DA AGUA BRANCA,6361.7,1.032509,1.022341
MA,2111573.0,SAO PEDRO DOS CRENTES,6346.39,1.032524,1.019009
MA,2111607.0,SAO RAIMUNDO DAS MANGABEIRAS,7423.37,1.031493,1.023479
MA,2111631.0,SAO RAIMUNDO DO DOCA BEZERRA,7708.0,1.03122,1.029864
MA,2111672.0,SAO ROBERTO,5958.41,1.032896,1.031247
MA,2111706.0,SAO VICENTE FERRER,6438.84,1.032436,1.034305
MA,2111722.0,SATUBINHA,7006.86,1.031892,1.033578
MA,2111748.0,SENADOR ALEXANDRE COSTA,6742.47,1.032145,1.027855
MA,2111763.0,SENADOR LA ROCQUE,6585.12,1.032296,1.023316
MA,2111789.0,SERRANO DO MARANHAO,5558.55,1.033279,1.041012
MA,2111805.0,SITIO NOVO,6610.22,1.032271,1.031301
MA,2111904.0,SUCUPIRA DO NORTE,6524.08,1.032354,1.025603
MA,2111953.0,SUCUPIRA DO RIACHAO,7369.89,1.031544,1.033656
MA,2112001.0,TASSO FRAGOSO,8392.65,1.030565,1.021803
MA,2112100.0,TIMBIRAS,7084.73,1.031817,1.036235
MA,2112209.0,TIMON,6873.83,1.032019,1.021462
MA,2112233.0,TRIZIDELA DO VALE,7632.63,1.031292,1.017488
MA,2112274.0,TUFILANDIA,7989.5,1.030951,1.031409
MA,2112308.0,TUNTUM,6885.73,1.032008,1.026422
MA,2112407.0,TURIACU,6256.71,1.03261,1.036982
MA,2112456.0,TURILANDIA,5645.88,1.033195,1.033967
MA,2112506.0,TUTOIA,6876.6,1.032016,1.033262
MA,2112605.0,URBANO SANTOS,6321.96,1.032548,1.039202
MA,2112704.0,VARGEM GRANDE,5982.88,1.032872,1.037819
MA,2112803.0,VIANA,6475.63,1.0324,1.029941
MA,2112852.0,VILA NOVA DOS MARTIRIOS,5231.33,1.033592,1.019972
MA,2112902.0,VITORIA DO MEARIM,6497.29,1.03238,1.025932
MA,2113009.0,VITORINO FREIRE,7805.23,1.031127,1.02427
MG,31.0,GOVERNO DO ESTADO,0.0,0.965,0.996138
MG,3100104.0,ABADIA DOS DOURADOS,10983.51,1.028083,0.994052
MG,3100203.0,ABAETE,8704.76,1.030266,1.000939
MG,3100302.0,ABRE CAMPO,11617.07,1.027477,1.010341
MG,3100401.0,ACAIACA,10300.55,1.028737,1.001113
MG,3100500.0,ACUCENA,10171.27,1.028861,1.008312
MG,3100609.0,AGUA BOA,8267.37,1.030684,1.01763
MG,3100708.0,AGUA COMPRIDA,18535.65,1.020851,0.985654
MG,3100807.0,AGUANIL,9457.68,1.029545,0.996224
MG,3100906.0,AGUAS FORMOSAS,9054.65,1.029931,1.014808
MG,3101003.0,AGUAS VERMELHAS,6753.93,1.032134,1.013137
MG,3101102.0,AIMORES,8150.98,1.030796,0.998715
MG,3101300.0,ALAGOA,10316.1,1.028722,0.993169
MG,3101409.0,ALBERTINA,10015.79,1.02901,0.989516
MG,3101508.0,ALEM PARAIBA,9004.7,1.029978,0.996872
MG,3101607.0,ALFENAS,9843.78,1.029175,0.989109
MG,3101631.0,ALFREDO VASCONCELOS,13718.07,1.025465,0.994322
MG,3101706.0,ALMENARA,9129.77,1.029859,1.011853
MG,3101805.0,ALPERCATA,9246.47,1.029747,0.9989
MG,3101904.0,ALPINOPOLIS,10119.24,1.028911,0.993772
MG,3102001.0,ALTEROSA,9103.56,1.029884,0.987835
MG,3102050.0,ALTO CAPARAO,8619.08,1.030348,0.997542
MG,3102100.0,ALTO RIO DOCE,9991.46,1.029033,1.008692
MG,3102209.0,ALVARENGA,9885.6,1.029135,1.010938
MG,3102308.0,ALVINOPOLIS,7456.65,1.031461,1.007091
MG,3102407.0,ALVORADA DE MINAS,22722.7,1.016841,1.017802
MG,3102506.0,AMPARO DO SERRA,10144.02,1.028887,1.010149
MG,3102605.0,ANDRADAS,10688.96,1.028365,0.98838
MG,3102704.0,CACHOEIRA DE PAJEU,10494.82,1.028551,1.018544
MG,3102803.0,ANDRELANDIA,10231.61,1.028803,0.994535
MG,3103009.0,ANTONIO DIAS,17565.61,1.02178,1.004424
MG,3103108.0,ANTONIO PRADO DE MINAS,17596.54,1.02175,0.993776
MG,3103207.0,ARACAI,11763.6,1.027336,1.003374
MG,3103504.0,ARAGUARI,10859.96,1.028202,0.991653
MG,3103603.0,ARANTINA,8901.48,1.030077,0.995608
MG,3103702.0,ARAPONGA,11377.78,1.027706,1.020635
MG,3103751.0,ARAPORA,10060.95,1.028967,0.995138
MG,3103801.0,ARAPUA,12863.13,1.026283,0.989961
MG,3103900.0,ARAUJOS,8468.49,1.030492,0.982598
MG,3104007.0,ARAXA,8795.58,1.030179,0.984628
MG,3104106.0,ARCEBURGO,8478.3,1.030482,0.984804
MG,3104205.0,ARCOS,10741.21,1.028315,0.983925
MG,3104304.0,AREADO,10837.86,1.028223,0.989978
MG,3104403.0,ARGIRITA,11187.62,1.027888,0.997316
MG,3104452.0,ARICANDUVA,8412.93,1.030545,1.02399
MG,3104502.0,ARINOS,9761.86,1.029253,1.009967
MG,3104601.0,ASTOLFO DUTRA,9642.35,1.029368,0.99395
MG,3104700.0,ATALEIA,9130.95,1.029857,1.012398
MG,3104809.0,AUGUSTO DE LIMA,12026.5,1.027084,1.004324
MG,3104908.0,BAEPENDI,9301.23,1.029694,0.99807
MG,3105004.0,BALDIM,10615.54,1.028436,1.000188
MG,3105103.0,BAMBUI,10324.24,1.028715,0.993776
MG,3105301.0,BANDEIRA DO SUL,8047.09,1.030895,0.98365
MG,3105400.0,BARAO DE COCAIS,12422.75,1.026705,0.986002
MG,3105509.0,BARAO DE MONTE ALTO,7451.75,1.031466,1.007464
MG,3105608.0,BARBACENA,10291.73,1.028746,0.992616
MG,3105707.0,BARRA LONGA,14262.65,1.024943,1.007657
MG,3105905.0,BARROSO,8594.12,1.030372,0.991734
MG,3106002.0,BELA VISTA DE MINAS,11761.13,1.027339,0.99687
MG,3106101.0,BELMIRO BRAGA,14987.74,1.024249,0.997425
MG,3106200.0,BELO HORIZONTE,14294.68,1.024912,0.985751
MG,3106309.0,BELO ORIENTE,10045.35,1.028982,0.998004
MG,3106408.0,BELO VALE,12393.0,1.026734,0.999785
MG,3106507.0,BERILO,10308.95,1.028729,1.014456
MG,3106606.0,BERTOPOLIS,0.0,0.965,1.011415
MG,3106655.0,BERIZAL,8907.86,1.030071,1.020528
MG,3106705.0,BETIM,0.0,0.965,0.989057
MG,3106804.0,BIAS FORTES,13310.43,1.025855,1.003052
MG,3106903.0,BICAS,8966.08,1.030015,0.990421
MG,3107000.0,BIQUINHAS,11408.12,1.027677,0.995219
MG,3107109.0,BOA ESPERANCA,9105.26,1.029882,0.997818
MG,3107208.0,BOCAINA DE MINAS,10669.25,1.028384,0.992991
MG,3107406.0,BOM DESPACHO,9328.82,1.029668,0.987165
MG,3107505.0,BOM JARDIM DE MINAS,10462.92,1.028582,0.99471
MG,3107604.0,BOM JESUS DA PENHA,10058.68,1.028969,0.993964
MG,3107703.0,BOM JESUS DO AMPARO,10344.32,1.028695,0.997909
MG,3107802.0,BOM JESUS DO GALHO,10668.6,1.028385,1.012321
MG,3107901.0,BOM REPOUSO,7854.38,1.03108,0.994574
MG,3108008.0,BOM SUCESSO,10585.58,1.028464,1.001687
MG,3108107.0,BONFIM,10294.16,1.028744,0.994371
MG,3108206.0,BONFINOPOLIS DE MINAS,10512.81,1.028534,1.007549
MG,3108255.0,BONITO DE MINAS,8310.89,1.030643,1.027372
MG,3108305.0,BORDA DA MATA,9605.58,1.029403,0.989383
MG,3108404.0,BOTELHOS,10149.8,1.028882,0.985438
MG,3108503.0,BOTUMIRIM,9722.28,1.029291,1.02244
MG,3108552.0,BRASILANDIA DE MINAS,8121.91,1.030824,1.000482
MG,3108602.0,BRASILIA DE MINAS,8901.05,1.030078,1.015204
MG,3108701.0,BRAS PIRES,9757.6,1.029257,1.005489
MG,3108800.0,BRAUNAS,14598.75,1.024621,1.006363
MG,3108909.0,BRAZOPOLIS,8569.26,1.030395,0.994322
MG,3109006.0,BRUMADINHO,15760.78,1.023508,0.98268
MG,3109105.0,BUENO BRANDAO,11548.7,1.027542,0.990055
MG,3109204.0,BUENOPOLIS,10659.86,1.028393,1.01
MG,3109253.0,BUGRE,12296.26,1.026826,1.004531
MG,3109303.0,BURITIS,9234.45,1.029758,1.009028
MG,3109402.0,BURITIZEIRO,8352.22,1.030603,1.008053
MG,3109451.0,CABECEIRA GRANDE,9578.54,1.029429,1.004036
MG,3109501.0,CABO VERDE,8934.94,1.030045,0.992399
MG,3109600.0,CACHOEIRA DA PRATA,10013.89,1.029012,0.981085
MG,3109709.0,CACHOEIRA DE MINAS,8459.67,1.0305,0.98228
MG,3109808.0,CACHOEIRA DOURADA,16249.66,1.02304,0.989026
MG,3109907.0,CAETANOPOLIS,9102.2,1.029885,0.993504
MG,3110004.0,CAETE,9990.38,1.029034,0.987623
MG,3110202.0,CAJURI,9388.41,1.029611,1.007199
MG,3110301.0,CALDAS,9659.35,1.029351,0.986611
MG,3110400.0,CAMACHO,13143.04,1.026015,0.998652
MG,3110509.0,CAMANDUCAIA,8995.04,1.029988,0.990423
MG,3110608.0,CAMBUI,8436.04,1.030523,0.9836
MG,3110707.0,CAMBUQUIRA,7987.07,1.030953,0.988873
MG,3110806.0,CAMPANARIO,10745.69,1.028311,1.010189
MG,3110905.0,CAMPANHA,9305.05,1.029691,0.994836
MG,3111002.0,CAMPESTRE,7990.62,1.03095,0.98416
MG,3111101.0,CAMPINA VERDE,9369.33,1.029629,0.996824
MG,3111150.0,CAMPO AZUL,10483.75,1.028562,1.021663
MG,3111200.0,CAMPO BELO,9040.7,1.029944,0.988817
MG,3111309.0,CAMPO DO MEIO,7589.76,1.031333,0.993832
MG,3111408.0,CAMPO FLORIDO,9532.73,1.029473,0.993822
MG,3111507.0,CAMPOS ALTOS,8207.76,1.030742,0.997826
MG,3111606.0,CAMPOS GERAIS,6788.13,1.032101,1.004641
MG,3111705.0,CANAA,10961.48,1.028104,1.009725
MG,3111804.0,CANAPOLIS,11959.84,1.027148,0.998036
MG,3112000.0,CANDEIAS,10020.54,1.029006,0.995986
MG,3112059.0,CANTAGALO,10952.11,1.028113,1.010419
MG,3112109.0,CAPARAO,8339.13,1.030616,1.005309
MG,3112208.0,CAPELA NOVA,12723.73,1.026417,1.008108
MG,3112307.0,CAPELINHA,7519.12,1.031401,1.014663
MG,3112406.0,CAPETINGA,10959.12,1.028107,0.987062
MG,3112653.0,CAPITAO ANDRADE,9265.9,1.029728,1.000872
MG,3112703.0,CAPITAO ENEAS,6718.38,1.032168,1.015375
MG,3112802.0,CAPITOLIO,11694.74,1.027402,0.987839
MG,3112901.0,CAPUTIRA,7588.82,1.031334,1.009049
MG,3113107.0,CARANAIBA,14796.89,1.024431,1.004501
MG,3113206.0,CARANDAI,9040.02,1.029945,0.987418
MG,3113305.0,CARANGOLA,8656.46,1.030312,1.002532
MG,3113404.0,CARATINGA,7500.32,1.031419,1.001148
MG,3113503.0,CARBONITA,8888.08,1.03009,1.000725
MG,3113602.0,CAREACU,9424.66,1.029576,0.993413
MG,3113701.0,CARLOS CHAGAS,9436.72,1.029565,1.01104
MG,3113800.0,CARMESIA,10396.75,1.028645,1.001604
MG,3113909.0,CARMO DA CACHOEIRA,10146.65,1.028885,0.997631
MG,3114006.0,CARMO DA MATA,9923.77,1.029098,0.996448
MG,3114105.0,CARMO DE MINAS,10787.56,1.028271,1.003028
MG,3114204.0,CARMO DO CAJURU,7834.85,1.031099,0.986043
MG,3114402.0,CARMO DO RIO CLARO,8662.13,1.030306,0.992346
MG,3114501.0,CARMOPOLIS DE MINAS,9570.7,1.029436,0.990612
MG,3114550.0,CARNEIRINHO,11531.98,1.027558,0.989009
MG,3114600.0,CARRANCAS,11556.67,1.027534,0.993977
MG,3114709.0,CARVALHOPOLIS,10895.41,1.028168,0.982338
MG,3114808.0,CARVALHOS,10661.56,1.028392,1.005237
MG,3114907.0,CASA GRANDE,13901.89,1.025289,0.994035
MG,3115003.0,CASCALHO RICO,9930.61,1.029092,0.989213
MG,3115102.0,CASSIA,13961.16,1.025232,0.98524
MG,3115201.0,CONCEICAO DA BARRA DE MINAS,12835.92,1.026309,1.000385
MG,3115300.0,CATAGUASES,9732.04,1.029282,0.996083
MG,3115359.0,CATAS ALTAS,13617.05,1.025561,0.987047
MG,3115409.0,CATAS ALTAS DA NORUEGA,12693.2,1.026446,1.008449
MG,3115458.0,CATUJI,9179.48,1.029811,1.021011
MG,3115474.0,CATUTI,8669.13,1.0303,1.024375
MG,3115508.0,CAXAMBU,10175.34,1.028857,0.994496
MG,3115607.0,CEDRO DO ABAETE,13309.89,1.025855,0.996096
MG,3115706.0,CENTRAL DE MINAS,9976.54,1.029048,0.998382
MG,3115805.0,CENTRALINA,8377.47,1.030579,0.999235
MG,3115904.0,CHACARA,9924.49,1.029098,0.995275
MG,3116001.0,CHALE,9261.73,1.029732,1.003524
MG,3116100.0,CHAPADA DO NORTE,6947.23,1.031949,1.021389
MG,3116159.0,CHAPADA GAUCHA,8308.22,1.030645,1.013398
MG,3116209.0,CHIADOR,10429.13,1.028614,0.997683
MG,3116308.0,CIPOTANEA,12313.19,1.02681,1.019742
MG,3116407.0,CLARAVAL,10510.28,1.028537,0.991584
MG,3116506.0,CLARO DOS POCOES,8972.43,1.030009,1.011674
MG,3116605.0,CLAUDIO,8342.5,1.030613,0.986483
MG,3116704.0,COIMBRA,9093.86,1.029893,0.993608
MG,3116803.0,COLUNA,9782.27,1.029234,1.020166
MG,3116902.0,COMENDADOR GOMES,12510.69,1.026621,0.998164
MG,3117009.0,COMERCINHO,9120.98,1.029867,1.021583
MG,3117108.0,CONCEICAO DA APARECIDA,9622.54,1.029387,0.995608
MG,3117207.0,CONCEICAO DAS PEDRAS,13681.41,1.0255,0.998551
MG,3117306.0,CONCEICAO DAS ALAGOAS,9151.24,1.029838,0.995035
MG,3117405.0,CONCEICAO DE IPANEMA,8255.82,1.030696,1.011586
MG,3117504.0,"CONCEICAO DO MATO
DENTRO",0.0,0.965,1.00587
MG,3117603.0,CONCEICAO DO PARA,14854.63,1.024376,0.997013
MG,3117702.0,CONCEICAO DO RIO VERDE,8747.9,1.030224,1.000957
MG,3117801.0,CONCEICAO DOS OUROS,8529.53,1.030433,0.986862
MG,3117836.0,CONEGO MARINHO,19001.78,1.020405,1.025878
MG,3117876.0,CONFINS,13043.74,1.02611,0.987063
MG,3117900.0,CONGONHAL,8954.84,1.030026,0.994943
MG,3118007.0,CONGONHAS,14018.09,1.025177,0.985332
MG,3118106.0,CONGONHAS DO NORTE,8346.49,1.030609,1.017355
MG,3118205.0,CONQUISTA,10669.28,1.028384,0.995771
MG,3118304.0,CONSELHEIRO LAFAIETE,9394.89,1.029605,0.979018
MG,3118403.0,CONSELHEIRO PENA,10322.05,1.028717,1.003861
MG,3118502.0,CONSOLACAO,13326.0,1.02584,0.996588
MG,3118700.0,COQUEIRAL,7128.38,1.031775,0.995854
MG,3118809.0,CORACAO DE JESUS,8815.19,1.03016,1.018071
MG,3118908.0,CORDISBURGO,11481.92,1.027606,1.006039
MG,3119005.0,CORDISLANDIA,12161.74,1.026955,0.99887
MG,3119104.0,CORINTO,9043.82,1.029941,1.006407
MG,3119203.0,COROACI,10335.37,1.028704,1.006089
MG,3119302.0,COROMANDEL,7749.88,1.03118,0.99903
MG,3119401.0,CORONEL FABRICIANO,7481.86,1.031437,0.993967
MG,3119500.0,CORONEL MURTA,8113.35,1.030832,1.019098
MG,3119609.0,CORONEL PACHECO,11624.62,1.027469,0.98853
MG,3119807.0,CORREGO DANTA,14328.08,1.02488,0.998531
MG,3119906.0,CORREGO DO BOM JESUS,9595.76,1.029412,0.980855
MG,3120003.0,CORREGO NOVO,10305.31,1.028733,1.01481
MG,3120102.0,COUTO DE MAGALHAES DE MINAS,10665.87,1.028388,1.0046
MG,3120151.0,CRISOLITA,8919.37,1.03006,1.020928
MG,3120201.0,CRISTAIS,8719.97,1.030251,0.996091
MG,3120300.0,CRISTALIA,8985.92,1.029996,1.013241
MG,3120409.0,CRISTIANO OTONI,10426.59,1.028617,0.988377
MG,3120508.0,CRISTINA,9036.67,1.029948,0.998732
MG,3120607.0,CRUCILANDIA,11019.44,1.028049,0.994053
MG,3120706.0,CRUZEIRO DA FORTALEZA,9362.06,1.029636,0.993965
MG,3120805.0,CRUZILIA,10193.34,1.02884,0.99738
MG,3120839.0,CUPARAQUE,9976.16,1.029048,1.002325
MG,3120870.0,CURRAL DE DENTRO,8080.52,1.030863,1.017934
MG,3120904.0,CURVELO,10575.85,1.028474,1.001286
MG,3121001.0,DATAS,8774.17,1.030199,1.012718
MG,3121100.0,DELFIM MOREIRA,8498.53,1.030463,0.994229
MG,3121209.0,DELFINOPOLIS,13523.06,1.025651,0.985659
MG,3121308.0,DESCOBERTO,8680.38,1.030289,0.997066
MG,3121407.0,DESTERRO DE ENTRE RIOS,7843.9,1.03109,0.996439
MG,3121506.0,DESTERRO DO MELO,10886.93,1.028176,1.00855
MG,3121605.0,DIAMANTINA,8997.59,1.029985,1.003472
MG,3121704.0,DIOGO DE VASCONCELOS,10844.8,1.028216,1.012317
MG,3121803.0,DIONISIO,10422.76,1.02862,0.998035
MG,3121902.0,DIVINESIA,9744.78,1.02927,0.996884
MG,3122009.0,DIVINO,9202.95,1.029789,1.007305
MG,3122108.0,"DIVINO DAS
LARANJEIRAS",0.0,0.965,1.002882
MG,3122207.0,DIVINOLANDIA DE MINAS,9333.47,1.029664,1.004547
MG,3122306.0,DIVINOPOLIS,10561.68,1.028487,0.984747
MG,3122405.0,DIVISA NOVA,9609.92,1.029399,0.998601
MG,3122454.0,DIVISOPOLIS,9995.11,1.02903,1.016921
MG,3122470.0,DOM BOSCO,11058.37,1.028012,1.009508
MG,3122504.0,DOM CAVATI,12033.67,1.027078,0.99546
MG,3122603.0,DOM JOAQUIM,8992.35,1.02999,1.010967
MG,3122702.0,DOM SILVERIO,10678.13,1.028376,0.99694
MG,3122801.0,DOM VICOSO,15251.47,1.023996,0.996966
MG,3122900.0,DONA EUZEBIA,8977.46,1.030004,0.993795
MG,3123007.0,DORES DE CAMPOS,10076.35,1.028952,0.988089
MG,3123106.0,DORES DE GUANHAES,10359.17,1.028681,1.009837
MG,3123205.0,DORES DO INDAIA,9926.04,1.029096,0.989987
